14754,14,,ABERDEEN,AVE,,14 Aberdeen Ave,,,252-140,274-45
3185,16,,ABERDEEN,AVE,,16 Aberdeen Ave,,,252-140,274-45
4367,20,,ABERDEEN,AVE,,20 Aberdeen Ave,,,252-139,274-42
14756,22,,ABERDEEN,AVE,,22 Aberdeen Ave,,,252-139,274-42
5246,24,,ABERDEEN,AVE,,24 Aberdeen Ave,,,252-138,274-39
5246,24,,ABERDEEN,AVE,,24 Aberdeen Ave,,,252-138,274-39
5246,24,,ABERDEEN,AVE,,24 Aberdeen Ave,,,252-138,274-39
5246,24,,ABERDEEN,AVE,,24 Aberdeen Ave,,,252-138,274-39
5463,25,,ABERDEEN,AVE,,25 Aberdeen Ave,,,251-113,270-66
14759,26,,ABERDEEN,AVE,,26 Aberdeen Ave,,,252-138,274-39
5815,27,,ABERDEEN,AVE,,27 Aberdeen Ave,,,251-12,270-63
5950,28,,ABERDEEN,AVE,,28 Aberdeen Ave,,,252-137,274-36
14763,30,,ABERDEEN,AVE,,30 Aberdeen Ave,,,252-137,274-36
24695,32,,ABERDEEN,AVE,,32 Aberdeen Ave,,,252-136,274-33
6762,33,,ABERDEEN,AVE,,33 Aberdeen Ave,,,251-13,270-59
6895,34,,ABERDEEN,AVE,,34 Aberdeen Ave,,,252-136,274-33
15308,35,,ABERDEEN,AVE,,35 Aberdeen Ave,,,251-14,270-54
7270,37,,ABERDEEN,AVE,,37 Aberdeen Ave,,,251-14,270-54
25311,38,,ABERDEEN,AVE,,38 Aberdeen Ave,,,252-154,274-30
15310,39,,ABERDEEN,AVE,,39 Aberdeen Ave,,,251-15,270-52
24850,40,,ABERDEEN,AVE,,40 Aberdeen Ave,,,252-154,274-30
7781,41,,ABERDEEN,AVE,,41 Aberdeen Ave,,,251-15,270-52
15314,43,,ABERDEEN,AVE,,43 Aberdeen Ave,,,251-16,270-43
7687,44,,ABERDEEN,AVE,,44 Aberdeen Ave,,,252-153,274-27
8079,45,,ABERDEEN,AVE,,45 Aberdeen Ave,,,251-16,270-43
14766,46,,ABERDEEN,AVE,,46 Aberdeen Ave,,,252-153,274-27
8237,47,,ABERDEEN,AVE,,47 Aberdeen Ave,,,251-17,270-49
8160,52,,ABERDEEN,AVE,,52 Aberdeen Ave,,,252-132,274-23
8780,53,,ABERDEEN,AVE,,53 Aberdeen Ave,,,251-121,270-48
